id,name,lat,lon,address,rating,rating_count,confidence,url,match,city,state,country,zip_code
hKC2NzeTU9xEqbSUEGa5Ag,Halal Platters,40.79040981209588,-74.0574273,"115 Plaza Ctr, Secaucus, NJ 07094",0,0,,https://www.yelp.com/biz/halal-platters-secaucus?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Secaucus,NJ,US,07094
JvlBqpCiTB4eQdbwFWwDzg,New York Style Gyro,40.736802,-74.063194,"3033 John F. Kennedy Blvd, Jersey City, NJ 07306",3,1,,https://www.yelp.com/biz/new-york-style-gyro-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07306
zKNrXoZ7SBJtqQC1N_MtXw,Halal New York Gyro Cart,40.7191,-74.077582,"2388 John F Kennedy Blvd, Jersey City, NJ 07304",0,0,,https://www.yelp.com/biz/halal-new-york-gyro-cart-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07304
UGrl_q2Wp-6PibPa6U8NFQ,The Smackin' Shack,40.67102,-74.2142542,"1213 Magnolia Ave, Elizabeth, NJ 07201",1,1,,https://www.yelp.com/biz/the-smackin-shack-elizabeth?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Elizabeth,NJ,US,07201
ebPu5lXDTvw4yv84sEmYpA,Zamzam Halal Food,40.732732,-74.072047,"976 W Side Ave, Jersey City, NJ 07306",0,0,,https://www.yelp.com/biz/zamzam-halal-food-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07306
QaNQSB1I8RNSGv02vXjscw,9Rose Pizzeria & Fried Chicken,40.7255318015814,-74.2257510870695,"1049 Clinton Ave, Irvington, NJ 07111",5,1,,https://www.yelp.com/biz/9rose-pizzeria-and-fried-chicken-irvington?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Irvington,NJ,US,07111
3KbPN9RnabJO1BTs_5MgwQ,Mobile Food Vendor,40.732035419352485,-74.06748337668664,"41 Tonnelle Ave, Jersey City, NJ 07306",0,0,,https://www.yelp.com/biz/mobile-food-vendor-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07306
QsOyOLeULRxfmncacySrtA,Chew n Chatter,40.7320548824311,-74.0674134664606,"43 Tonnelle Ave, Jersey City, NJ 07306",2,2,,https://www.yelp.com/biz/chew-n-chatter-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07306
aVkFGuZrR_4_7eXdP8oNVA,King Halal Gyro,40.74135617260046,-74.05263516094,"192 Central Ave, Jersey City, NJ 07307",0,0,,https://www.yelp.com/biz/king-halal-gyro-jersey-city?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,Jersey City,NJ,US,07307
CMlXFPwtXoUhgUgT9fTPTQ,Halal Guys Express,40.713704161468954,-74.01372021490837,"12 Vesey St, New York, NY 10007",0,0,,https://www.yelp.com/biz/halal-guys-express-new-york?adjust_creative=S0_Na3BINI1ZPDtCFfQiZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S0_Na3BINI1ZPDtCFfQiZQ,category,New York,NY,US,10007
